"site","Latitude","Longitude","o3","year"
"Hull Centre",53.74479,-0.338322,33.732946,2001
"London N. Kensington",51.52105,-0.213492,34.155383,2001
"Ladybower",53.40337,-1.752006,44.503193,2001
"Leamington Spa",52.28881,-1.533119,37.345922,2001
"Leeds Centre",53.80378,-1.546472,33.064632,2001
"Leicester Centre",52.631348,-1.133006,34.993131,2001
"Lullington Heath",50.7937,0.18125,56.776421,2001
"Liverpool Centre",53.40845,-2.980249,36.217831,2001
"London Eltham",51.45258,0.070766,36.741563,2001
"Manchester Piccadilly",53.48152,-2.237881,22.939708,2001
"Manchester South",53.369026,-2.24328,29.055112,2001
"Middlesbrough",54.569297,-1.220874,44.443379,2001
"London Marylebone Road",51.52253,-0.154611,14.394547,2001
"Newcastle Centre",54.97825,-1.610528,37.24749,2001
"Norwich Centre",52.63203,1.295019,42.964157,2001
"Nottingham Centre",52.95473,-1.146447,27.81614,2001
"Narberth",51.782616,-4.69237,61.970509,2001
"Plymouth Centre",50.37167,-4.142361,30.153725,2001
"Preston",53.76559,-2.680353,41.671913,2001
"Port Talbot",51.5798,-3.76169,50.257126,2001
"Reading",51.45352,-0.95518,34.656709,2001
"Redcar",54.610735,-1.0733,48.01983,2001
"Rochester Stoke",51.45617,0.634889,50.561161,2001
"Rotherham Centre",53.43186,-1.354444,30.908774,2001
"Southend-on-Sea",51.544166,0.678331,44.614838,2001
"Sheffield Centre",53.37772,-1.473306,32.822137,2001
"Sibton",52.2944,1.463497,47.104316,2001
"London Southwark",51.49055,-0.096667,28.719591,2001
"Somerton",51.03572,-2.735253,55.094759,2001
"Southampton Centre",50.908173,-1.395757,33.964717,2001
"Stoke-on-Trent Centre",53.02821,-2.175133,38.52671,2001
"London Sutton",51.36789,-0.165489,34.736504,2001
"Swansea",51.62114,-3.943329,39.627168,2001
"London Teddington",51.42099,-0.339647,43.841653,2001
"Thurrock",51.47707,0.317969,38.581831,2001
"Wirral Tranmere",53.37287,-3.022722,46.307152,2001
"London Wandsworth",51.45696,-0.191164,27.401314,2001
"Sandwell West Bromwich",52.52062,-1.995556,39.100234,2001
"Weybourne",52.95049,1.122017,56.984287,2001
"Wicken Fen",52.2985,0.290917,43.593805,2001
"Wolverhampton Centre",52.58818,-2.129008,35.649523,2001
"Yarner Wood",50.5976,-3.71651,58.59723,2001
"Aston Hill",52.50385,-3.034178,60.99074,2002
"Barnsley Gawber",53.56292,-1.510436,41.443022,2002
"London Bexley",51.46603,0.184806,38.318779,2002
"Birmingham East",52.49763,-1.831498,39.655425,2002
"Birmingham Centre",52.479724,-1.908078,38.244271,2002
"Blackpool",53.79046,-3.029283,51.933177,2002
"Bolton",53.57232,-2.439583,41.370745,2002
"Bottesford",52.93028,-0.814722,47.301368,2002
"Bradford Centre",53.79339,-1.748694,30.807558,2002
"London Brent",51.589769,-0.276223,35.455342,2002
"Bristol Centre",51.45718,-2.585622,37.971389,2002
"Bury Roadside",53.53911,-2.289611,19.256376,2002
"Cardiff Centre",51.48178,-3.17625,41.280492,2002
"London Bloomsbury",51.52229,-0.125889,22.76886,2002
"Coventry Memorial Park",52.394399,-1.519612,43.02164,2002
"Salford Eccles",53.48481,-2.334139,32.820525,2002
"Exeter Roadside",50.725083,-3.532465,34.447371,2002
"Great Dun Fell",54.684233,-2.450799,66.31346,2002
"Glazebury",53.46008,-2.472056,37.627896,2002
"Harwell",51.571078,-1.325283,51.186596,2002
"London Haringey",51.58603,-0.126486,32.813156,2002
"London Hillingdon",51.49633,-0.460861,25.610599,2002
"London Hackney",51.55877,-0.056592,29.115789,2002
"High Muffles",54.334497,-0.80882,57.348984,2002
"London Westminster",51.49467,-0.131931,30.265741,2002
"Hull Freetown",53.74878,-0.341222,27.2055,2002
"Hull Centre",53.74479,-0.338322,9.907692,2002
"London N. Kensington",51.52105,-0.213492,32.778649,2002
"Ladybower",53.40337,-1.752006,50.431405,2002
"Leamington Spa",52.28881,-1.533119,39.310998,2002
"Leeds Centre",53.80378,-1.546472,35.047563,2002
"Leicester Centre",52.631348,-1.133006,36.212703,2002
"Lullington Heath",50.7937,0.18125,55.235725,2002
"Liverpool Centre",53.40845,-2.980249,43.186335,2002
"London Eltham",51.45258,0.070766,37.70102,2002
"London Lewisham",51.44541,-0.020139,26.951512,2002
"Manchester Piccadilly",53.48152,-2.237881,25.163729,2002
"Manchester South",53.369026,-2.24328,37.162467,2002
"Middlesbrough",54.569297,-1.220874,46.601373,2002
"London Marylebone Road",51.52253,-0.154611,14.984818,2002
"Newcastle Centre",54.97825,-1.610528,38.55399,2002
"Norwich Centre",52.63203,1.295019,43.743046,2002
"Nottingham Centre",52.95473,-1.146447,29.192019,2002
"St Osyth",51.777874,1.04901,51.104133,2002
"Narberth",51.782616,-4.69237,60.113208,2002
"Plymouth Centre",50.37167,-4.142361,45.126011,2002
"Preston",53.76559,-2.680353,41.626191,2002
"Port Talbot",51.5798,-3.76169,52.169593,2002
"Reading",51.45352,-0.95518,37.287233,2002
"Redcar",54.610735,-1.0733,53.303931,2002
"Rochester Stoke",51.45617,0.634889,49.014039,2002
"Rotherham Centre",53.43186,-1.354444,33.511523,2002
"Southend-on-Sea",51.544166,0.678331,44.058553,2002
"Sheffield Centre",53.37772,-1.473306,34.969697,2002
"Sibton",52.2944,1.463497,48.421708,2002
"London Southwark",51.49055,-0.096667,33.800508,2002
"Somerton",51.03572,-2.735253,56.378745,2002
"Southampton Centre",50.908173,-1.395757,37.317318,2002
"Stoke-on-Trent Centre",53.02821,-2.175133,36.469472,2002
"London Sutton",51.36789,-0.165489,41.183702,2002
"Swansea",51.62114,-3.943329,42.343355,2002
"London Teddington",51.42099,-0.339647,46.118503,2002
"Thurrock",51.47707,0.317969,39.452859,2002
"Wirral Tranmere",53.37287,-3.022722,47.787534,2002
"London Wandsworth",51.45696,-0.191164,26.822662,2002
"Sandwell West Bromwich",52.52062,-1.995556,43.384199,2002
"Weybourne",52.95049,1.122017,61.273094,2002
"Wicken Fen",52.2985,0.290917,44.320278,2002
"Wigan Leigh",53.49422,-2.506899,38.28702,2002
"Wolverhampton Centre",52.58818,-2.129008,39.180359,2002
"Yarner Wood",50.5976,-3.71651,57.27478,2002
"Aston Hill",52.50385,-3.034178,62.254089,2003
"Barnsley Gawber",53.56292,-1.510436,46.874867,2003
"London Bexley",51.46603,0.184806,41.413071,2003
"Birmingham East",52.49763,-1.831498,42.725762,2003
"Birmingham Centre",52.479724,-1.908078,41.38335,2003
"Blackpool",53.79046,-3.029283,54.248804,2003
"Bolton",53.57232,-2.439583,44.432256,2003
"Bournemouth",50.73957,-1.826744,57.194695,2003
"Bottesford",52.93028,-0.814722,47.446637,2003
"Bradford Centre",53.79339,-1.748694,31.739765,2003
"London Brent",51.589769,-0.276223,41.998474,2003
"Bristol Centre",51.45718,-2.585622,40.174131,2003
"Bury Roadside",53.53911,-2.289611,19.157331,2003
"Cardiff Centre",51.48178,-3.17625,40.85209,2003
"London Bloomsbury",51.52229,-0.125889,29.74726,2003
"Coventry Memorial Park",52.394399,-1.519612,46.731106,2003
"Cwmbran",51.6538,-3.006953,56.196884,2003
"Salford Eccles",53.48481,-2.334139,36.308214,2003
"Exeter Roadside",50.725083,-3.532465,38.497133,2003
"Great Dun Fell",54.684233,-2.450799,66.904669,2003
"Glazebury",53.46008,-2.472056,37.401441,2003
"Harwell",51.571078,-1.325283,59.671855,2003
"London Haringey",51.58603,-0.126486,37.98972,2003
"London Hillingdon",51.49633,-0.460861,28.385396,2003
"London Hackney",51.55877,-0.056592,34.013968,2003
"High Muffles",54.334497,-0.80882,53.850978,2003
"London Westminster",51.49467,-0.131931,32.598542,2003
"Hull Freetown",53.74878,-0.341222,43.894047,2003
"London N. Kensington",51.52105,-0.213492,37.274913,2003
"Ladybower",53.40337,-1.752006,57.022693,2003
"Leamington Spa",52.28881,-1.533119,44.075463,2003
"Leeds Centre",53.80378,-1.546472,37.240917,2003
"Leicester Centre",52.631348,-1.133006,40.765392,2003
"Lullington Heath",50.7937,0.18125,63.075397,2003
"London Eltham",51.45258,0.070766,39.323814,2003
"Liverpool Speke",53.34633,-2.844333,47.573291,2003
"London Lewisham",51.44541,-0.020139,30.19424,2003
"Manchester Piccadilly",53.48152,-2.237881,30.120569,2003
"Manchester South",53.369026,-2.24328,37.635591,2003
"Middlesbrough",54.569297,-1.220874,49.582722,2003
"Market Harborough",52.554444,-0.772222,38.254167,2003
"London Marylebone Road",51.52253,-0.154611,15.549182,2003
"Newcastle Centre",54.97825,-1.610528,41.378365,2003
"Norwich Centre",52.63203,1.295019,45.333255,2003
"Nottingham Centre",52.95473,-1.146447,33.056056,2003
"Northampton",52.27349,-0.885933,52.977169,2003
"St Osyth",51.777874,1.04901,53.636279,2003
"Narberth",51.782616,-4.69237,55.450819,2003
"Plymouth Centre",50.37167,-4.142361,45.593618,2003
"Portsmouth",50.82881,-1.068583,52.270041,2003
"Preston",53.76559,-2.680353,44.47225,2003
"Port Talbot",51.5798,-3.76169,57.569585,2003
"Reading New Town",51.45309,-0.944067,30.887164,2003
"Reading",51.45352,-0.95518,36.226322,2003
"Redcar",54.610735,-1.0733,53.865118,2003
"Rochester Stoke",51.45617,0.634889,51.831272,2003
"Rotherham Centre",53.43186,-1.354444,33.854571,2003
"Southend-on-Sea",51.544166,0.678331,47.308382,2003
"Sheffield Centre",53.37772,-1.473306,37.103304,2003
"Sibton",52.2944,1.463497,54.826574,2003
"London Southwark",51.49055,-0.096667,36.824651,2003
"Somerton",51.03572,-2.735253,59.993193,2003
"Southampton Centre",50.908173,-1.395757,40.339572,2003
"Stoke-on-Trent Centre",53.02821,-2.175133,42.372367,2003
"Swansea",51.62114,-3.943329,44.650169,2003
"London Teddington",51.42099,-0.339647,49.489671,2003
"Thurrock",51.47707,0.317969,42.129712,2003
"Wirral Tranmere",53.37287,-3.022722,47.966215,2003
"London Wandsworth",51.45696,-0.191164,29.308592,2003
"Sandwell West Bromwich",52.52062,-1.995556,41.4963,2003
"Weybourne",52.95049,1.122017,63.642233,2003
"Wicken Fen",52.2985,0.290917,48.912671,2003
"Wigan Leigh",53.49422,-2.506899,37.323744,2003
"Wolverhampton Centre",52.58818,-2.129008,42.463937,2003
"Yarner Wood",50.5976,-3.71651,63.608962,2003
"Aston Hill",52.50385,-3.034178,65.932994,2004
"Barnsley Gawber",53.56292,-1.510436,48.11169,2004
"London Bexley",51.46603,0.184806,38.971994,2004
"Birmingham Tyburn",52.511722,-1.830583,35.057896,2004
"Birmingham East",52.49763,-1.831498,40.814045,2004
"Birmingham Centre",52.479724,-1.908078,40.249324,2004
"Blackpool",53.79046,-3.029283,55.864701,2004
"Bolton",53.57232,-2.439583,43.894319,2004
"Bournemouth",50.73957,-1.826744,53.405044,2004
"Bottesford",52.93028,-0.814722,45.899689,2004
"Bradford Centre",53.79339,-1.748694,34.575829,2004
"London Brent",51.589769,-0.276223,35.32758,2004
"Bristol Centre",51.45718,-2.585622,40.346092,2004
"Brighton Preston Park",50.840836,-0.147572,27.826498,2004
"Bury Roadside",53.53911,-2.289611,20.989098,2004
"Cardiff Centre",51.48178,-3.17625,40.898438,2004
"London Bloomsbury",51.52229,-0.125889,24.448874,2004
"Coventry Memorial Park",52.394399,-1.519612,45.992104,2004
"Cwmbran",51.6538,-3.006953,50.92232,2004
"Salford Eccles",53.48481,-2.334139,32.51792,2004
"Exeter Roadside",50.725083,-3.532465,37.824668,2004
"Great Dun Fell",54.684233,-2.450799,61.962268,2004
"Glazebury",53.46008,-2.472056,43.243237,2004
"Harwell",51.571078,-1.325283,56.979551,2004
"London Haringey",51.58603,-0.126486,33.859077,2004
"London Hillingdon",51.49633,-0.460861,26.526419,2004
"London Hackney",51.55877,-0.056592,30.221135,2004
"High Muffles",54.334497,-0.80882,62.333066,2004
"London Westminster",51.49467,-0.131931,31.379118,2004
"London Harlington",51.48879,-0.441614,33.183021,2004
"Hull Freetown",53.74878,-0.341222,45.080373,2004
"London N. Kensington",51.52105,-0.213492,36.282725,2004
"Ladybower",53.40337,-1.752006,63.004952,2004
"Leamington Spa",52.28881,-1.533119,39.865267,2004
"Leeds Centre",53.80378,-1.546472,36.096681,2004
"Leicester Centre",52.631348,-1.133006,35.18365,2004
"Lullington Heath",50.7937,0.18125,61.146498,2004
"London Eltham",51.45258,0.070766,38.660602,2004
"Liverpool Speke",53.34633,-2.844333,47.711659,2004
"London Lewisham",51.44541,-0.020139,29.046285,2004
"Manchester Piccadilly",53.48152,-2.237881,30.232949,2004
"Manchester South",53.369026,-2.24328,35.261311,2004
"Middlesbrough",54.569297,-1.220874,48.847329,2004
"Market Harborough",52.554444,-0.772222,52.807547,2004
"London Marylebone Road",51.52253,-0.154611,15.416367,2004
"Newcastle Centre",54.97825,-1.610528,41.137492,2004
"Norwich Centre",52.63203,1.295019,40.504627,2004
"Nottingham Centre",52.95473,-1.146447,31.132403,2004
"Northampton",52.27349,-0.885933,47.381021,2004
"St Osyth",51.777874,1.04901,52.924298,2004
"Plymouth Centre",50.37167,-4.142361,38.493071,2004
"Portsmouth",50.82881,-1.068583,45.738339,2004
"Preston",53.76559,-2.680353,43.680945,2004
"Port Talbot",51.5798,-3.76169,52.965097,2004
"Reading New Town",51.45309,-0.944067,44.476632,2004
"Redcar",54.610735,-1.0733,52.299125,2004
"Rochester Stoke",51.45617,0.634889,49.214772,2004
"Rotherham Centre",53.43186,-1.354444,33.730988,2004
"Southend-on-Sea",51.544166,0.678331,44.631604,2004
"Sheffield Centre",53.37772,-1.473306,39.086704,2004
"Sibton",52.2944,1.463497,54.684235,2004
"London Southwark",51.49055,-0.096667,29.935887,2004
"Somerton",51.03572,-2.735253,55.290545,2004
"Southampton Centre",50.908173,-1.395757,35.602906,2004
"Stoke-on-Trent Centre",53.02821,-2.175133,42.495061,2004
"Sunderland Silksworth",54.88361,-1.406878,41.669691,2004
"Swansea",51.62114,-3.943329,40.552048,2004
"London Teddington",51.42099,-0.339647,48.568551,2004
"Thurrock",51.47707,0.317969,39.169558,2004
"Wirral Tranmere",53.37287,-3.022722,48.77329,2004
"London Wandsworth",51.45696,-0.191164,26.361009,2004
"Sandwell West Bromwich",52.52062,-1.995556,45.306664,2004
"Weybourne",52.95049,1.122017,64.190108,2004
"Wicken Fen",52.2985,0.290917,52.482472,2004
"Wigan Leigh",53.49422,-2.506899,37.123297,2004
"Wigan Centre",53.54914,-2.638139,28.329714,2004
"Wolverhampton Centre",52.58818,-2.129008,40.754022,2004
"Yarner Wood",50.5976,-3.71651,62.624547,2004
"Aston Hill",52.50385,-3.034178,70.349544,2005
"Barnsley Gawber",53.56292,-1.510436,43.255488,2005
"London Bexley",51.46603,0.184806,38.331109,2005
"Birmingham Tyburn",52.511722,-1.830583,40.696652,2005
"Birmingham Centre",52.479724,-1.908078,39.829089,2005
"Blackpool Marton",53.80489,-3.007175,45.217222,2005
"Bolton",53.57232,-2.439583,41.327643,2005
"Bournemouth",50.73957,-1.826744,50.629565,2005
"Bottesford",52.93028,-0.814722,47.285287,2005
"Bradford Centre",53.79339,-1.748694,34.626686,2005
"London Brent",51.589769,-0.276223,40.338502,2005
"Bristol Centre",51.45718,-2.585622,45.125788,2005
"Brighton Preston Park",50.840836,-0.147572,51.124392,2005
"Bury Roadside",53.53911,-2.289611,22.491647,2005
"Cardiff Centre",51.48178,-3.17625,37.696614,2005
"London Bloomsbury",51.52229,-0.125889,23.058706,2005
"Coventry Memorial Park",52.394399,-1.519612,44.822808,2005
"Cwmbran",51.6538,-3.006953,52.132461,2005
"Salford Eccles",53.48481,-2.334139,34.839048,2005
"Exeter Roadside",50.725083,-3.532465,34.201733,2005
"Great Dun Fell",54.684233,-2.450799,60.48966,2005
"Glazebury",53.46008,-2.472056,46.125595,2005
"Harwell",51.571078,-1.325283,50.334732,2005
"London Haringey",51.58603,-0.126486,38.511409,2005
"London Hillingdon",51.49633,-0.460861,26.499691,2005
"London Hackney",51.55877,-0.056592,36.557151,2005
"High Muffles",54.334497,-0.80882,59.767886,2005
"London Westminster",51.49467,-0.131931,33.140374,2005
"London Harlington",51.48879,-0.441614,32.224859,2005
"Hull Freetown",53.74878,-0.341222,43.403529,2005
"London N. Kensington",51.52105,-0.213492,35.288167,2005
"Ladybower",53.40337,-1.752006,49.532947,2005
"Leamington Spa",52.28881,-1.533119,40.92491,2005
"Leeds Centre",53.80378,-1.546472,35.635871,2005
"Leicester Centre",52.631348,-1.133006,36.903718,2005
"Leominster",52.221593,-2.73684,43.036199,2005
"Lullington Heath",50.7937,0.18125,59.173969,2005
"London Eltham",51.45258,0.070766,39.296309,2005
"Liverpool Speke",53.34633,-2.844333,47.351452,2005
"London Lewisham",51.44541,-0.020139,32.343725,2005
"Manchester Piccadilly",53.48152,-2.237881,28.47078,2005
"Manchester South",53.369026,-2.24328,29.697429,2005
"Middlesbrough",54.569297,-1.220874,43.751371,2005
"Market Harborough",52.554444,-0.772222,47.078361,2005
"London Marylebone Road",51.52253,-0.154611,16.30085,2005
"Newcastle Centre",54.97825,-1.610528,43.951706,2005
"Norwich Centre",52.63203,1.295019,41.379941,2005
"Nottingham Centre",52.95473,-1.146447,33.765132,2005
"Northampton",52.27349,-0.885933,44.207761,2005
"St Osyth",51.777874,1.04901,52.679163,2005
"Narberth",51.782616,-4.69237,62.788828,2005
"Plymouth Centre",50.37167,-4.142361,41.814206,2005
"Portsmouth",50.82881,-1.068583,46.417818,2005
"Preston",53.76559,-2.680353,47.889672,2005
"Port Talbot",51.5798,-3.76169,52.700698,2005
"Reading New Town",51.45309,-0.944067,45.665249,2005
"Redcar",54.610735,-1.0733,47.05317,2005
"Rochester Stoke",51.45617,0.634889,44.78104,2005
"Rotherham Centre",53.43186,-1.354444,31.122881,2005
"Southend-on-Sea",51.544166,0.678331,42.129056,2005
"Sheffield Centre",53.37772,-1.473306,31.169356,2005
"Sibton",52.2944,1.463497,59.011256,2005
"London Southwark",51.49055,-0.096667,32.384488,2005
"Somerton",51.03572,-2.735253,54.638201,2005
"Southampton Centre",50.908173,-1.395757,32.531832,2005
"Stoke-on-Trent Centre",53.02821,-2.175133,41.6692,2005
"Sunderland Silksworth",54.88361,-1.406878,49.887672,2005
"Swansea",51.62114,-3.943329,42.543985,2005
"London Teddington",51.42099,-0.339647,47.836772,2005
"Thurrock",51.47707,0.317969,38.567826,2005
"Wirral Tranmere",53.37287,-3.022722,49.246686,2005
"London Wandsworth",51.45696,-0.191164,26.863099,2005
"Sandwell West Bromwich",52.52062,-1.995556,40.495712,2005
"Weybourne",52.95049,1.122017,68.135314,2005
"Wicken Fen",52.2985,0.290917,52.794859,2005
"Wigan Centre",53.54914,-2.638139,44.329844,2005
"Wolverhampton Centre",52.58818,-2.129008,42.035469,2005
"Yarner Wood",50.5976,-3.71651,60.459552,2005
"Aston Hill",52.50385,-3.034178,71.934017,2006
"Barnsley Gawber",53.56292,-1.510436,46.689174,2006
"London Bexley",51.46603,0.184806,42.518536,2006
"Birmingham Tyburn",52.511722,-1.830583,40.61907,2006
"Birmingham Centre",52.479724,-1.908078,42.76427,2006
"Blackpool Marton",53.80489,-3.007175,57.568533,2006
"Bolton",53.57232,-2.439583,46.297653,2006
"Bournemouth",50.73957,-1.826744,51.868147,2006
"Bottesford",52.93028,-0.814722,52.427301,2006
"Bradford Centre",53.79339,-1.748694,37.237004,2006
"London Brent",51.589769,-0.276223,44.243846,2006
"Bristol St Paul's",51.462839,-2.584482,43.358882,2006
"Brighton Preston Park",50.840836,-0.147572,54.933649,2006
"Bury Roadside",53.53911,-2.289611,23.339418,2006
"Cardiff Centre",51.48178,-3.17625,43.871005,2006
"London Bloomsbury",51.52229,-0.125889,29.011876,2006
"Coventry Memorial Park",52.394399,-1.519612,50.957084,2006
"Cwmbran",51.6538,-3.006953,54.969927,2006
"Salford Eccles",53.48481,-2.334139,38.180653,2006
"Exeter Roadside",50.725083,-3.532465,41.747351,2006
"Great Dun Fell",54.684233,-2.450799,63.268765,2006
"Glazebury",53.46008,-2.472056,47.593267,2006
"Harwell",51.571078,-1.325283,54.247438,2006
"London Haringey",51.58603,-0.126486,43.481564,2006
"London Hillingdon",51.49633,-0.460861,28.04894,2006
"London Hackney",51.55877,-0.056592,25.639665,2006
"High Muffles",54.334497,-0.80882,58.079551,2006
"London Westminster",51.49467,-0.131931,38.184572,2006
"London Harlington",51.48879,-0.441614,36.982031,2006
"Hull Freetown",53.74878,-0.341222,44.877615,2006
"London N. Kensington",51.52105,-0.213492,40.197207,2006
"Ladybower",53.40337,-1.752006,49.584506,2006
"Leamington Spa",52.28881,-1.533119,46.465839,2006
"Leeds Centre",53.80378,-1.546472,40.346304,2006
"Leicester Centre",52.631348,-1.133006,43.312493,2006
"Leominster",52.221593,-2.73684,55.098532,2006
"Lullington Heath",50.7937,0.18125,61.345459,2006
"London Eltham",51.45258,0.070766,43.275712,2006
"Liverpool Speke",53.34633,-2.844333,48.243484,2006
"London Lewisham",51.44541,-0.020139,33.599587,2006
"Manchester Piccadilly",53.48152,-2.237881,29.073398,2006
"Manchester South",53.369026,-2.24328,32.763057,2006
"Middlesbrough",54.569297,-1.220874,49.216934,2006
"Market Harborough",52.554444,-0.772222,57.254282,2006
"London Marylebone Road",51.52253,-0.154611,16.894668,2006
"Newcastle Centre",54.97825,-1.610528,43.576695,2006
"Norwich Centre",52.63203,1.295019,46.660759,2006
"Nottingham Centre",52.95473,-1.146447,38.541269,2006
"Northampton",52.27349,-0.885933,50.466385,2006
"St Osyth",51.777874,1.04901,54.144904,2006
"Narberth",51.782616,-4.69237,65.650343,2006
"Plymouth Centre",50.37167,-4.142361,33.88206,2006
"Portsmouth",50.82881,-1.068583,53.712408,2006
"Preston",53.76559,-2.680353,50.156553,2006
"Port Talbot",51.5798,-3.76169,55.907717,2006
"Reading New Town",51.45309,-0.944067,48.837164,2006
"Redcar",54.610735,-1.0733,49.836782,2006
"Rochester Stoke",51.45617,0.634889,49.010773,2006
"Rotherham Centre",53.43186,-1.354444,29.668803,2006
"Southend-on-Sea",51.544166,0.678331,54.526437,2006
"Sheffield Centre",53.37772,-1.473306,33.353745,2006
"Sibton",52.2944,1.463497,56.82928,2006
"London Southwark",51.49055,-0.096667,26.50829,2006
"Somerton",51.03572,-2.735253,57.252508,2006
"Southampton Centre",50.908173,-1.395757,35.810775,2006
"Stoke-on-Trent Centre",53.02821,-2.175133,51.406001,2006
"Sunderland Silksworth",54.88361,-1.406878,54.93702,2006
"Swansea Roadside",51.632696,-3.947374,40.297838,2006
"Swansea",51.62114,-3.943329,52.998365,2006
"London Teddington",51.42099,-0.339647,50.827292,2006
"Thurrock",51.47707,0.317969,41.154517,2006
"Wirral Tranmere",53.37287,-3.022722,50.334164,2006
"London Wandsworth",51.45696,-0.191164,34.018844,2006
"Sandwell West Bromwich",52.52062,-1.995556,42.028648,2006
"Weybourne",52.95049,1.122017,70.105317,2006
"Wicken Fen",52.2985,0.290917,66.12082,2006
"Wigan Centre",53.54914,-2.638139,48.427894,2006
"Wolverhampton Centre",52.58818,-2.129008,44.649393,2006
"Yarner Wood",50.5976,-3.71651,62.760123,2006
"Aston Hill",52.50385,-3.034178,63.408622,2007
"Barnsley Gawber",53.56292,-1.510436,43.515825,2007
"London Bexley",51.46603,0.184806,44.684771,2007
"Birmingham Tyburn",52.511722,-1.830583,35.291888,2007
"Birmingham Centre",52.479724,-1.908078,38.381223,2007
"Blackpool Marton",53.80489,-3.007175,54.9457,2007
"Bolton",53.57232,-2.439583,41.964767,2007
"Bournemouth",50.73957,-1.826744,50.869294,2007
"Bottesford",52.93028,-0.814722,45.415692,2007
"Bradford Centre",53.79339,-1.748694,42.834643,2007
"London Brent",51.589769,-0.276223,43.28492,2007
"Bristol St Paul's",51.462839,-2.584482,42.768086,2007
"Brighton Preston Park",50.840836,-0.147572,49.742415,2007
"Bury Roadside",53.53911,-2.289611,22.372976,2007
"Cardiff Centre",51.48178,-3.17625,39.572273,2007
"London Bloomsbury",51.52229,-0.125889,23.726628,2007
"Coventry Memorial Park",52.394399,-1.519612,45.349511,2007
"Cwmbran",51.6538,-3.006953,50.364908,2007
"Salford Eccles",53.48481,-2.334139,34.583828,2007
"Exeter Roadside",50.725083,-3.532465,45.898434,2007
"Great Dun Fell",54.684233,-2.450799,62.224832,2007
"Glazebury",53.46008,-2.472056,41.095895,2007
"Harwell",51.571078,-1.325283,47.997507,2007
"London Haringey",51.58603,-0.126486,38.76459,2007
"London Hillingdon",51.49633,-0.460861,30.176559,2007
"London Hackney",51.55877,-0.056592,38.044513,2007
"High Muffles",54.334497,-0.80882,52.870553,2007
"London Westminster",51.49467,-0.131931,34.001194,2007
"London Harlington",51.48879,-0.441614,32.28659,2007
"Hull Freetown",53.74878,-0.341222,42.727421,2007
"London N. Kensington",51.52105,-0.213492,36.476359,2007
"Ladybower",53.40337,-1.752006,52.902979,2007
"Leamington Spa",52.28881,-1.533119,38.979451,2007
"Leeds Centre",53.80378,-1.546472,37.237766,2007
"Leicester Centre",52.631348,-1.133006,38.295263,2007
"Leominster",52.221593,-2.73684,47.705509,2007
"Lullington Heath",50.7937,0.18125,54.453058,2007
"London Eltham",51.45258,0.070766,39.060987,2007
"Liverpool Speke",53.34633,-2.844333,44.424355,2007
"London Lewisham",51.44541,-0.020139,33.418929,2007
"Manchester Piccadilly",53.48152,-2.237881,20.602206,2007
"Manchester South",53.369026,-2.24328,30.613587,2007
"Middlesbrough",54.569297,-1.220874,45.987703,2007
"Market Harborough",52.554444,-0.772222,54.526861,2007
"London Marylebone Road",51.52253,-0.154611,17.303069,2007
"Newcastle Centre",54.97825,-1.610528,42.982132,2007
"Norwich Centre",52.63203,1.295019,45.421034,2007
"Nottingham Centre",52.95473,-1.146447,34.471094,2007
"Northampton",52.27349,-0.885933,45.617001,2007
"St Osyth",51.777874,1.04901,54.931647,2007
"Narberth",51.782616,-4.69237,59.902212,2007
"Plymouth Centre",50.37167,-4.142361,40.74683,2007
"Portsmouth",50.82881,-1.068583,47.285435,2007
"Preston",53.76559,-2.680353,42.393798,2007
"Port Talbot",51.5798,-3.76169,57.256008,2007
"Port Talbot Margam",51.58395,-3.770822,40.947831,2007
"Reading New Town",51.45309,-0.944067,42.743714,2007
"Redcar",54.610735,-1.0733,52.813017,2007
"Rochester Stoke",51.45617,0.634889,45.863357,2007
"Rotherham Centre",53.43186,-1.354444,33.109413,2007
"Southend-on-Sea",51.544166,0.678331,45.355979,2007
"Sheffield Centre",53.37772,-1.473306,37.659585,2007
"Sibton",52.2944,1.463497,49.553828,2007
"London Southwark",51.49055,-0.096667,35.795647,2007
"Somerton",51.03572,-2.735253,53.637396,2007
"Southampton Centre",50.908173,-1.395757,31.382053,2007
"Stoke-on-Trent Centre",53.02821,-2.175133,47.224086,2007
"Sunderland Silksworth",54.88361,-1.406878,50.228809,2007
"Swansea Roadside",51.632696,-3.947374,47.18368,2007
"London Teddington",51.42099,-0.339647,42.347816,2007
"Thurrock",51.47707,0.317969,37.330339,2007
"Wirral Tranmere",53.37287,-3.022722,46.911637,2007
"London Wandsworth",51.45696,-0.191164,33.926518,2007
"Sandwell West Bromwich",52.52062,-1.995556,42.040423,2007
"Weybourne",52.95049,1.122017,65.11124,2007
"Wicken Fen",52.2985,0.290917,54.479557,2007
"Wigan Centre",53.54914,-2.638139,45.87631,2007
"Wolverhampton Centre",52.58818,-2.129008,45.8075,2007
"Yarner Wood",50.5976,-3.71651,58.54334,2007
"Aston Hill",52.50385,-3.034178,69.860038,2008
"Barnsley Gawber",53.56292,-1.510436,46.264469,2008
"Birmingham Tyburn",52.511722,-1.830583,41.892461,2008
"Birmingham Centre",52.479724,-1.908078,42.972093,2008
"Blackpool Marton",53.80489,-3.007175,57.07511,2008
"Bolton",53.57232,-2.439583,56.60266,2008
