"site","Latitude","Longitude","o3","year"
"Yarner Wood",50.5976,-3.71651,58.680253,1992
"Aston Hill",52.50385,-3.034178,59.774021,1993
"Birmingham East",52.49763,-1.831498,29.239398,1993
"Birmingham Centre",52.479724,-1.908078,28.564211,1993
"Bottesford",52.93028,-0.814722,29.673643,1993
"London Bridge Place",51.49521,-0.141655,22.118838,1993
"Bristol Centre",51.45718,-2.585622,30.941679,1993
"Cardiff Centre",51.48178,-3.17625,29.722182,1993
"London Bloomsbury",51.52229,-0.125889,18.14372,1993
"Great Dun Fell",54.684233,-2.450799,62.749971,1993
"Glazebury",53.46008,-2.472056,31.741928,1993
"Harwell",51.571078,-1.325283,48.76521,1993
"High Muffles",54.334497,-0.80882,57.344356,1993
"Ladybower",53.40337,-1.752006,48.685148,1993
"Leeds Centre",53.80378,-1.546472,24.968602,1993
"Lullington Heath",50.7937,0.18125,55.605544,1993
"Liverpool Centre",53.40845,-2.980249,27.063276,1993
"Newcastle Centre",54.97825,-1.610528,30.0166,1993
"Sibton",52.2944,1.463497,53.206686,1993
"Stevenage",51.886944,-0.200833,30.624346,1993
"Wharleycroft",54.616238,-2.468931,54.893581,1993
"Yarner Wood",50.5976,-3.71651,55.080846,1993
"Aston Hill",52.50385,-3.034178,65.109218,1994
"London Bexley",51.46603,0.184806,31.178332,1994
"Birmingham East",52.49763,-1.831498,35.771348,1994
"Birmingham Centre",52.479724,-1.908078,33.407407,1994
"Bottesford",52.93028,-0.814722,41.379976,1994
"London Bridge Place",51.49521,-0.141655,24.871507,1994
"Bristol Centre",51.45718,-2.585622,37.315409,1994
"Cardiff Centre",51.48178,-3.17625,33.13518,1994
"London Bloomsbury",51.52229,-0.125889,21.466968,1994
"Great Dun Fell",54.684233,-2.450799,65.461871,1994
"Glazebury",53.46008,-2.472056,37.16355,1994
"Harwell",51.571078,-1.325283,51.987732,1994
"High Muffles",54.334497,-0.80882,57.559126,1994
"Hull Centre",53.74479,-0.338322,31.523039,1994
"Ladybower",53.40337,-1.752006,54.084903,1994
"Leeds Centre",53.80378,-1.546472,29.012172,1994
"Leicester Centre",52.631348,-1.133006,32.978593,1994
"Lullington Heath",50.7937,0.18125,61.500129,1994
"Liverpool Centre",53.40845,-2.980249,34.92017,1994
"Sibton",52.2944,1.463497,52.274388,1994
"Southampton Centre",50.908173,-1.395757,35.430289,1994
"Stevenage",51.886944,-0.200833,31.455153,1994
"Swansea",51.62114,-3.943329,37.00271,1994
"Wharleycroft",54.616238,-2.468931,59.026368,1994
"Yarner Wood",50.5976,-3.71651,59.295356,1994
"Aston Hill",52.50385,-3.034178,63.556079,1995
"London Bexley",51.46603,0.184806,35.345463,1995
"Birmingham East",52.49763,-1.831498,35.356974,1995
"Birmingham Centre",52.479724,-1.908078,33.217125,1995
"Bottesford",52.93028,-0.814722,43.476746,1995
"London Bridge Place",51.49521,-0.141655,20.706337,1995
"Bristol Centre",51.45718,-2.585622,38.551232,1995
"Cardiff Centre",51.48178,-3.17625,35.707583,1995
"London Bloomsbury",51.52229,-0.125889,20.993472,1995
"Great Dun Fell",54.684233,-2.450799,63.455176,1995
"Glazebury",53.46008,-2.472056,34.90321,1995
"Harwell",51.571078,-1.325283,51.285786,1995
"High Muffles",54.334497,-0.80882,56.10828,1995
"Hull Centre",53.74479,-0.338322,32.061542,1995
"Ladybower",53.40337,-1.752006,52.763894,1995
"Leeds Centre",53.80378,-1.546472,29.998124,1995
"Leicester Centre",52.631348,-1.133006,34.108159,1995
"Lullington Heath",50.7937,0.18125,60.021274,1995
"Liverpool Centre",53.40845,-2.980249,37.655414,1995
"Middlesbrough",54.569297,-1.220874,35.059097,1995
"Sibton",52.2944,1.463497,51.23322,1995
"Southampton Centre",50.908173,-1.395757,31.011113,1995
"Swansea",51.62114,-3.943329,40.869029,1995
"Wharleycroft",54.616238,-2.468931,63.191565,1995
"Wolverhampton Centre",52.58818,-2.129008,13.016077,1995
"Yarner Wood",50.5976,-3.71651,61.393217,1995
"Aston Hill",52.50385,-3.034178,57.826075,1996
"London Bexley",51.46603,0.184806,33.022467,1996
"Birmingham East",52.49763,-1.831498,34.46317,1996
"Birmingham Centre",52.479724,-1.908078,31.384179,1996
"Bottesford",52.93028,-0.814722,41.792352,1996
"London Brent",51.589769,-0.276223,36.199251,1996
"London Bridge Place",51.49521,-0.141655,22.239239,1996
"Bristol Centre",51.45718,-2.585622,34.313475,1996
"Cardiff Centre",51.48178,-3.17625,32.174276,1996
"London Bloomsbury",51.52229,-0.125889,18.85501,1996
"Exeter Roadside",50.725083,-3.532465,31.848171,1996
"Great Dun Fell",54.684233,-2.450799,38.719892,1996
"Glazebury",53.46008,-2.472056,32.73508,1996
"Harwell",51.571078,-1.325283,45.370401,1996
"London Haringey",51.58603,-0.126486,29.236377,1996
"London Hillingdon",51.49633,-0.460861,18.302558,1996
"High Muffles",54.334497,-0.80882,56.339166,1996
"Hull Centre",53.74479,-0.338322,33.299965,1996
"London N. Kensington",51.52105,-0.213492,30.083359,1996
"Ladybower",53.40337,-1.752006,50.376607,1996
"Leamington Spa",52.28881,-1.533119,33.073996,1996
"Leeds Centre",53.80378,-1.546472,27.876732,1996
"Leicester Centre",52.631348,-1.133006,31.603825,1996
"Lullington Heath",50.7937,0.18125,53.322244,1996
"Liverpool Centre",53.40845,-2.980249,32.131755,1996
"London Eltham",51.45258,0.070766,36.91655,1996
"Manchester Piccadilly",53.48152,-2.237881,24.793632,1996
"Manchester South",53.369026,-2.24328,16.66,1996
"Middlesbrough",54.569297,-1.220874,41.598768,1996
"Newcastle Centre",54.97825,-1.610528,34.821454,1996
"Nottingham Centre",52.95473,-1.146447,17.798803,1996
"Rochester Stoke",51.45617,0.634889,46.71709,1996
"Sheffield Centre",53.37772,-1.473306,32.449809,1996
"Sibton",52.2944,1.463497,51.912552,1996
"Somerton",51.03572,-2.735253,55.493076,1996
"Southampton Centre",50.908173,-1.395757,29.528047,1996
"London Sutton",51.36789,-0.165489,32.151459,1996
"Swansea",51.62114,-3.943329,35.485601,1996
"London Teddington",51.42099,-0.339647,31.80969,1996
"Thurrock",51.47707,0.317969,21.384696,1996
"London Wandsworth",51.45696,-0.191164,22.707874,1996
"Wolverhampton Centre",52.58818,-2.129008,34.087881,1996
"Yarner Wood",50.5976,-3.71651,54.589753,1996
"Aston Hill",52.50385,-3.034178,55.880259,1997
"Barnsley Gawber",53.56292,-1.510436,17.510204,1997
"London Bexley",51.46603,0.184806,32.855589,1997
"Birmingham East",52.49763,-1.831498,34.099134,1997
"Birmingham Centre",52.479724,-1.908078,31.2734,1997
"Bolton",53.57232,-2.439583,32.910929,1997
"Bottesford",52.93028,-0.814722,40.718855,1997
"Bradford Centre",53.79339,-1.748694,17.490637,1997
"London Brent",51.589769,-0.276223,31.399666,1997
"London Bridge Place",51.49521,-0.141655,23.670426,1997
"Bristol Centre",51.45718,-2.585622,32.717968,1997
"Bury Roadside",53.53911,-2.289611,12.072257,1997
"Cardiff Centre",51.48178,-3.17625,31.352663,1997
"London Bloomsbury",51.52229,-0.125889,19.420276,1997
"Coventry Centre",52.41345,-1.522133,31.677347,1997
"Salford Eccles",53.48481,-2.334139,29.112713,1997
